,QuarLang,HHincome_median
0,Affoltern,45.2
1,Albisrieden,51.0
2,Alt-Wiedikon,61.2
3,Altstetten,49.6
4,City,70.7
5,Enge,75.0
6,Escher Wyss,78.7
7,Fluntern,86.08
8,Friesenberg,44.9
9,Gewerbeschule,52.7
10,Hard,42.8
11,Hirslanden,63.15
12,Hirzenbach,38.9
13,Hochschulen,58.4
14,Hottingen,76.6
15,Höngg,55.5
16,Langstrasse,56.0
17,Leimbach,46.8
18,Lindenhof,67.1
19,Mühlebach,66.0
20,Oberstrass,62.9
21,Oerlikon,54.5
22,Rathaus,58.3
23,Saatlen,42.6
24,Schwamendingen-Mitte,39.6
25,Seebach,45.7
26,Seefeld,72.5
27,Sihlfeld,51.95
28,Unterstrass,53.4
29,Weinegg,64.2
30,Werd,60.5
31,Wipkingen,53.65
32,Witikon,55.81
33,Wollishofen,53.55
