,QuarLang,SteuerTarifLang,StichtagDatJahr,QuarSort,QuarCd,SteuerTarifSort,SteuerTarifCd,SteuerEinkommen_p50,SteuerEinkommen_p25,SteuerEinkommen_p75
0,Affoltern,Single-parent,2020.0,111.0,111.0,2.0,2.0,41.5,19.6,61.15
1,Affoltern,Basic single,2020.0,111.0,111.0,0.0,0.0,39.1,18.3,60.0
2,Affoltern,Married person,2020.0,111.0,111.0,1.0,1.0,75.1,49.8,104.9
3,Albisrieden,Single-parent,2020.0,91.0,91.0,2.0,2.0,56.2,35.0,80.8
4,Albisrieden,Basic single,2020.0,91.0,91.0,0.0,0.0,45.6,23.8,68.5
5,Albisrieden,Married person,2020.0,91.0,91.0,1.0,1.0,86.9,58.1,125.4
6,Alt-Wiedikon,Single-parent,2020.0,31.0,31.0,2.0,2.0,65.0,35.0,97.8
7,Alt-Wiedikon,Basic single,2020.0,31.0,31.0,0.0,0.0,54.5,27.6,83.1
8,Alt-Wiedikon,Married person,2020.0,31.0,31.0,1.0,1.0,99.1,59.8,158.2
9,Altstetten,Single-parent,2020.0,92.0,92.0,2.0,2.0,42.5,22.7,63.3
10,Altstetten,Basic single,2020.0,92.0,92.0,0.0,0.0,43.7,20.8,66.5
11,Altstetten,Married person,2020.0,92.0,92.0,1.0,1.0,72.2,48.2,103.9
12,City,Basic single,2020.0,14.0,14.0,0.0,0.0,27.9,1.4,66.4
13,City,Married person,2020.0,14.0,14.0,1.0,1.0,117.7,56.1,171.6
14,Enge,Single-parent,2020.0,24.0,24.0,2.0,2.0,73.4,48.3,119.0
15,Enge,Basic single,2020.0,24.0,24.0,0.0,0.0,61.7,27.9,104.1
16,Enge,Married person,2020.0,24.0,24.0,1.0,1.0,140.7,84.3,232.6
17,Escher Wyss,Single-parent,2020.0,52.0,52.0,2.0,2.0,77.8,43.8,125.7
18,Escher Wyss,Basic single,2020.0,52.0,52.0,0.0,0.0,66.4,38.4,101.6
19,Escher Wyss,Married person,2020.0,52.0,52.0,1.0,1.0,148.5,93.2,215.3
20,Fluntern,Single-parent,2020.0,71.0,71.0,2.0,2.0,92.0,54.6,153.8
21,Fluntern,Basic single,2020.0,71.0,71.0,0.0,0.0,54.8,19.7,95.0
22,Fluntern,Married person,2020.0,71.0,71.0,1.0,1.0,168.5,105.3,267.4
23,Friesenberg,Single-parent,2020.0,33.0,33.0,2.0,2.0,43.8,28.4,66.5
24,Friesenberg,Basic single,2020.0,33.0,33.0,0.0,0.0,32.7,11.7,54.8
25,Friesenberg,Married person,2020.0,33.0,33.0,1.0,1.0,71.75,46.8,106.1
26,Gewerbeschule,Single-parent,2020.0,51.0,51.0,2.0,2.0,48.8,28.9,74.3
27,Gewerbeschule,Basic single,2020.0,51.0,51.0,0.0,0.0,46.9,22.2,72.1
28,Gewerbeschule,Married person,2020.0,51.0,51.0,1.0,1.0,75.0,42.6,119.5
29,Hard,Single-parent,2020.0,44.0,44.0,2.0,2.0,37.8,19.0,56.7
30,Hard,Basic single,2020.0,44.0,44.0,0.0,0.0,37.8,18.0,60.0
31,Hard,Married person,2020.0,44.0,44.0,1.0,1.0,59.6,35.8,86.1
32,Hirslanden,Single-parent,2020.0,73.0,73.0,2.0,2.0,68.0,46.8,114.7
33,Hirslanden,Basic single,2020.0,73.0,73.0,0.0,0.0,50.0,20.3,83.4
34,Hirslanden,Married person,2020.0,73.0,73.0,1.0,1.0,127.6,82.8,214.1
35,Hirzenbach,Single-parent,2020.0,123.0,123.0,2.0,2.0,34.7,16.7,51.4
