,name,address
0,Migros,Wengistrasse 7 8004 Zürich
1,Migros,Sihlpassage 8004 Zürich
2,Migros,Zollstrasse 6 8005 Zürich
3,Migros,Löwenstrasse 31 - 35 8001 Zürich
4,Migros,Limmatstrasse 152 8005 Zürich
5,Migros,Hauptbahnhof 8001 Zürich
6,Migros,Shop Ville 8001 Zürich
7,Migros,Birmensdorferstrasse 140 8003 Zürich
8,Migros,Stockerstrasse 47 8002 Zürich
9,Migros,Badenerstrasse 376 8004 Zürich
10,Migros,Hardturmstrasse 11 8005 Zürich
11,Migros,Tessinerplatz 10 8002 Zürich
12,Migros,Birmensdorferstrasse 320 8055 Zürich
13,Migros,Scheffelstrasse 3 8037 Zürich
14,Migros,Schaffhauserstrasse 75 8057 Zürich
15,Migros,Winterthurerstrasse 2 - 4 8006 Zürich
16,Migros,Falkenstrasse 19 - 21 8008 Zürich
17,Migros,Giesshübelstrasse 65 8045 Zürich
18,Migros,Toblerstrasse 73 8044 Zürich
19,Migros,Kreuzplatz 20 8008 Zürich
20,Migros,Seefeldstrasse 111 - 113 8008 Zürich
21,Migros,Albisriederstrasse 365 8047 Zürich
22,Migros,Altstetterstrasse 145 8048 Zürich
23,Migros,Hohlstrasse 600 8048 Zürich
24,Migros,Regensdorferstrasse 20 8049 Zürich
25,Migros,Hofwiesenstrasse 350 - 354 8050 Zürich
26,Migros,Etzelstrasse 3 8038 Zürich
27,Migros,Forchstrasse 260 8008 Zürich
28,Migros,Winterthurerstrasse 524 8051 Zürich
29,Migros,Leimbachstrasse 23 8041 Zürich
30,Migros,Schaffhauserstrasse 470 8052 Zürich
31,Migros,Jonas-Furrer-Strasse 21 8046 Zürich
32,Migros,Witikonerstrasse 293 8053 Zürich
33,Migros,Zürcherstrasse 8 8142 Uitikon Waldegg
34,Migros,Thurgauerstrasse 106 8152 Opfikon
35,Migros,Am Stadtrand 5 8600 Dübendorf
36,Migros,Rotfluhstrasse 100 8702 Zollikon
37,Migros,Im Zentrum 2 8102 Oberengstringen
38,Migros,Neue Winterthurerstrasse 99 8304 Wallisellen
39,Migros,Bahnhofstrasse 30 8304 Wallisellen
40,Migros,Güterstrasse 5 8952 Schlieren
41,Migros,Wallisellerstrasse 8 8152 Glattbrugg
42,Migros,Badenerstrasse 57 8952 Schlieren
43,Migros,Unterdorfstrasse 7 8600 Dübendorf
44,Migros,Zürcherstrasse 15 8903 Birmensdorf Zh
45,Migros,Zentrum 1 8105 Regensdorf
46,Migros,Rietbachstrasse 14 8952 Schlieren
47,Migros,Albisstrasse 10 8134 Adliswil
48,Migros,Zürichstrasse 149 8700 Küsnacht Zh
49,Migros,Birmensdorferstrasse 87 8902 Urdorf
50,Migros,Hofwisenstrasse 40a 8153 Rümlang
51,Migros,Dorfstrasse 17 8126 Zumikon
52,Migros,Pappelstrasse 2 8305 Dietlikon
53,Migros,Flughafen Zürich Ag 8058 Zürich - Flughafen
54,Migros,Unterdorfstrasse 2 8117 Fällanden
55,Migros,Zürcherstrasse 4 8803 Rüschlikon
56,Migros,Kirchgasse 5 8302 Kloten
57,Migros,Zürichstrasse 108 8123 Ebmatingen
58,Migros,Bahnhofstrasse 42 8703 Erlenbach Zh
59,Migros,Hintere Grundstrasse 2 8135 Langnau am Albis
60,Migros,Alte Landstrasse 130 8800 Thalwil
61,Migros,Überlandstrasse 22 8953 Dietikon
62,Migros,Löwenstrasse 28 8953 Dietikon
63,Migros,Baltenswilerstrasse 5a 8303 Bassersdorf
64,Migros,Lägernstrasse 6 8154 Oberglatt Zh
65,Migros,Riedstrasse 3 8953 Dietikon
66,Migros,Meierwis 8606 Greifensee
67,Migros,Im Zentrum 18 8604 Volketswil
68,Migros,Dorfstrasse 20 8155 Niederhasli
69,Migros,Bellikerstrasse 13 8965 Berikon
70,Migros,Ruchwiesenstrasse 2 8157 Dielsdorf
71,Migros,Oberdorfstrasse 4 8910 Affoltern am Albis
72,Migros,Shoppi Tivoli 8957 Spreitenbach
73,Migros,Shopping-Center 8957 Spreitenbach
74,Migros,Märtplatz 5 8307 Effretikon
75,Migros,Zufikerstrasse 2 5620 Bremgarten Ag
76,Migros,Alte Landstrasse 24 8810 Horgen
77,Migros,Zürichstrasse 20 8610 Uster
78,Migros,Feldstrasse 85 8180 Bülach
79,Migros,Gewerbestrasse 2 - 10 8132 Egg
80,Migros,Rosengartenstrasse 10 8706 Meilen
81,Migros,Bülacherstrasse 17 8424 Embrach
82,Migros,Bahnhofstrasse 28 8180 Bülach
83,Migros,Ziegeleiplatz 2 8406 Dättnau
84,Migros,Zürcherstrasse 113 5432 Neuenhof
85,Migros,Grundstrasse 4 8320 Fehraltorf
86,Migros,Weiacherstrasse 1 8422 Pfungen
87,Migros,Landstrasse 69 5430 Wettingen
88,Migros,Kirchfeldstrasse 8 5630 Muri Ag
89,Migros,Zürcherstrasse 102 8406 Winterthur
90,Migros,Alte Landstrasse 262 8708 Männedorf
91,Migros,Badenerstrasse 7d 5442 Fislisbach
92,Migros,Im Zentrum 3 8625 Gossau Zh
93,Migros,Turmstrasse 9 8330 Pfäffikon Zh
94,Migros,Lindenplatz 1 8408 Winterthur
95,Migros,Bahnhofstrasse 7 5610 Wohlen Ag
96,Migros,Oberdorfstrasse 27 - 31 8820 Wädenswil
97,Migros,Bahnhofstrasse 40 / 42 5400 Baden
98,Migros,Strickerstrasse 3 8400 Winterthur
99,Migros,Wülflingerstrasse 71 8400 Winterthur
100,Migros,Lenzburgerstrasse 50 5507 Mellingen
101,Migros,Tösstalstrasse 24 8483 Kollbrunn
102,Migros,Bahnhofstrasse 5 6340 Baar
103,Migros,Bahnhofstrasse 2 6312 Steinhausen
104,Migros,Stadthausstrasse 31 8400 Winterthur
105,Migros,Pflanzschulstrasse 9 8400 Winterthur
106,Migros,Hinterbergstrasse 40 6312 Steinhausen
107,Migros,Schaffhauserstrasse 154 8400 Winterthur
108,Migros,Bahnhofstrasse 151 8620 Wetzikon Zh
109,Migros,Goethestrasse 18 8712 Stäfa
110,Migros,Hinterdorfstrasse 40 8405 Winterthur
111,Migros,Hofstrasse 47 8620 Wetzikon Zh
112,Migros,Schulstrasse 2 5415 Nussbaumen b.Baden
113,Migros,Schulhausstrasse 2 5612 Villmergen
114,Migros,Hertizentrum 10 6300 Zug
115,Migros,Bauelenzelgstrasse 16 8193 Eglisau
116,Migros,Zugerstrasse 15 / 17 6330 Cham
117,Migros,Jakob Stutz-Strasse 75 8335 Hittnau
118,Migros,Guggenbühlstrasse 1 8404 Winterthur
119,Migros,Baarerstrasse 22 6300 Zug
120,Migros,Rütistrasse 16 8634 Hombrechtikon
121,Migros,Hintermühlenstrasse 4 8409 Winterthur
