,RaumKategorie,RaumSort,RaumLang,StichtagDatJahr,AnzBestWir,FlaecheT,FlaecheL,FlaecheS,DichteT,DichteL,DichteS
195,Stadtquartier,11,Rathaus,2022,3330,35.7,27.4,18.0,93.2,121.3,185.4
209,Stadtquartier,12,Hochschulen,2022,676,58.1,46.0,25.9,11.6,14.7,26.1
223,Stadtquartier,13,Lindenhof,2022,1034,26.7,26.6,13.1,38.8,38.8,79.2
237,Stadtquartier,14,City,2022,820,59.5,54.9,30.0,13.8,14.9,27.3
251,Stadtquartier,21,Wollishofen,2022,20570,578.1,347.2,196.6,35.6,59.2,104.6
265,Stadtquartier,23,Leimbach,2022,6462,292.0,156.3,57.8,22.1,41.3,111.9
279,Stadtquartier,24,Enge,2022,10017,236.5,172.4,101.5,42.4,58.1,98.7
293,Stadtquartier,31,Alt-Wiedikon,2022,18079,169.2,161.7,121.0,106.8,111.8,149.4
307,Stadtquartier,33,Friesenberg,2022,10861,529.7,255.7,131.5,20.5,42.5,82.6
321,Stadtquartier,34,Sihlfeld,2022,21642,166.1,165.4,96.2,130.3,130.9,224.9
335,Stadtquartier,41,Werd,2022,4515,30.2,28.3,18.5,149.3,159.7,244.3
349,Stadtquartier,42,Langstrasse,2022,11977,121.2,119.1,54.7,98.8,100.6,219.0
363,Stadtquartier,44,Hard,2022,13180,139.1,139.1,79.9,94.7,94.7,164.9
377,Stadtquartier,51,Gewerbeschule,2022,9663,73.0,68.0,42.7,132.3,142.1,226.3
391,Stadtquartier,52,Escher Wyss,2022,6225,126.6,119.4,85.5,49.2,52.1,72.8
405,Stadtquartier,61,Unterstrass,2022,24953,246.6,241.3,153.7,101.2,103.4,162.3
419,Stadtquartier,63,Oberstrass,2022,10909,263.5,160.5,112.8,41.4,68.0,96.7
433,Stadtquartier,71,Fluntern,2022,8946,284.4,212.2,140.5,31.5,42.2,63.7
447,Stadtquartier,72,Hottingen,2022,11422,505.3,263.1,137.8,22.6,43.4,82.9
461,Stadtquartier,73,Hirslanden,2022,7531,218.7,95.1,69.1,34.4,79.2,108.9
475,Stadtquartier,74,Witikon,2022,11402,493.4,284.5,138.1,23.1,40.1,82.6
489,Stadtquartier,81,Seefeld,2022,5815,242.2,67.0,36.9,24.0,86.8,157.7
503,Stadtquartier,82,Mühlebach,2022,6440,63.9,63.8,48.0,100.8,101.0,134.1
517,Stadtquartier,83,Weinegg,2022,5559,174.5,157.4,100.5,31.8,35.3,55.3
531,Stadtquartier,91,Albisrieden,2022,22875,460.1,271.6,175.5,49.7,84.2,130.3
545,Stadtquartier,92,Altstetten,2022,35642,745.5,565.9,357.3,47.8,63.0,99.7
559,Stadtquartier,101,Höngg,2022,24807,698.4,461.9,246.9,35.5,53.7,100.5
573,Stadtquartier,102,Wipkingen,2022,16698,210.2,155.0,107.3,79.4,107.8,155.6
587,Stadtquartier,111,Affoltern,2022,26935,604.4,495.3,217.1,44.6,54.4,124.0
601,Stadtquartier,115,Oerlikon,2022,24119,267.5,264.2,187.1,90.2,91.3,128.9
615,Stadtquartier,119,Seebach,2022,26980,471.0,425.5,222.8,57.3,63.4,121.1
629,Stadtquartier,121,Saatlen,2022,8826,112.8,107.9,84.0,78.2,81.8,105.1
643,Stadtquartier,122,Schwamendingen-Mitte,2022,11207,279.2,137.4,87.9,40.1,81.6,127.5
657,Stadtquartier,123,Hirzenbach,2022,12920,204.6,175.9,100.2,63.1,73.4,129.0
