,name,address
0,Coop Supermarkt Zürich Bahnhofbrücke,"Bahnhofbrücke 1, 8001 Zürich"
1,Coop Supermarkt Zürich ShopVille HB,"Halle Löwenstrasse, 8021 Zürich"
2,Coop Supermarkt Zürich Europaallee Passage,"Europaallee 5, 8001 Zürich"
3,Coop Supermarkt City Zürich St. Annahof Food,"Bahnhofstrasse 57, 8001 Zürich"
4,Coop Supermarkt Zürich Zollstrasse,"Zollstrasse 42, 8005 Zürich"
5,Coop Supermarkt Zürich Universitätstrasse,"Universitätstrasse 73, 8006 Zürich"
6,Coop Supermarkt Zürich Bärengasse,"Bärengasse 16, 8001 Zürich"
7,Coop Supermarkt Zürich Rigiplatz,"Universitätstrasse 101, 8006 Zürich"
8,Coop Supermarkt Zürich Stauffacher,"Badenerstrasse 15, 8004 Zürich"
9,Coop Supermarkt Zürich Bleicherweg,"Bleicherweg 19, 8002 Zürich"
10,Coop Supermarkt City Zürich Bellevue Food,"Theaterstrasse 18, 8024 Zürich"
11,Coop Supermarkt Zürich Hohlstrasse,"Hohlstrasse 35, 8004 Zürich"
12,Coop Supermarkt Zürich Stadelhofen,"Stadelhoferstrasse 10, 8001 Zürich"
13,Coop Supermarkt Zürich Fluntern,"Zürichbergstrasse 75, 8044 Zürich"
14,Coop Supermarkt Zürich Josefstrasse,"Röntgenstrasse 48, 8005 Zürich"
15,Coop Supermarkt Zürich Enge Bahnhof,"Tessinerplatz 10, 8002 Zürich"
16,Coop Supermarkt Zürich Brotgasse,"Seefeldstrasse 35, 8008 Zürich"
17,Coop Supermarkt Zürich Kreuzplatz,"Forchstrasse 4, 8008 Zürich"
18,Coop Supermarkt Zürich Römerhof,"Klosbachstrasse 104, 8032 Zürich"
19,Coop Supermarkt Zürich Lochergut,"Badenerstrasse 244, 8004 Zürich"
20,Coop Supermarkt Zürich Manessehof,"Uetlibergstrasse 20, 8045 Zürich"
21,Coop Supermarkt Zürich Wiedikon,"Birmensdorferstrasse 200, 8003 Zürich"
22,Coop Supermarkt Zürich Scheffelstrasse,"Scheffelstrasse 12, 8037 Zürich"
23,Coop Supermarkt Zürich Milchbuck,"Milchbuckstrasse 1-5, 8057 Zürich"
24,Coop Supermarkt Zürich Wipkingerbrücke,"Röschibachstrasse 22, 8037 Zürich"
25,Coop Supermarkt Pfingstweidstrasse Prime 2,"Maschinenstrasse 10, 8005 Zürich"
26,Coop Supermarkt Zürich Seefeld,"Seefeldstrasse 123, 8008 Zürich"
27,Coop Supermarkt Zürich Albisriederplatz,"Badenerstrasse 333, 8003 Zürich"
28,Coop Supermarkt Zürich Puls 5,"Giessereistrasse 18, 8005 Zürich"
29,Coop Supermarkt Zürich Sihlcity Supermarkt,"Kalanderplatz 1, 8045 Zürich"
30,Coop Supermarkt Zürich Birmensdorferstrasse,"Birmensdorferstrasse 310, 8055 Zürich"
31,Coop Supermarkt Zürich Tiefenbrunnen,"Seefeldstrasse 199, 8008 Zürich"
32,Coop Supermarkt Zürich Gutstrasse,"Gutstrasse 159, 8047 Zürich"
33,Coop Supermarkt Zürich Hard Turm Park,"Pfingstweidstrasse 106, 8005 Zürich"
34,Coop Supermarkt Zürich Zentrum Friesenberg,"Friesenbergplatz 3, 8045 Zürich"
35,Coop Supermarkt Zürich Wollishofen Seestr.,"Seestrasse 339, 8038 Zürich"
36,Coop Supermarkt Zürich Letzipark,"Baslerstrasse 50, 8048 Zürich"
37,Coop Supermarkt Zürich Dorflinde,"Schwamendingerstrasse 39/41, 8050 Zürich"
38,Coop Supermarkt City Zürich Oerlikon Food,"Wallisellenstrasse 1, 8050 Zürich"
39,Coop Supermarkt Zürich Triemli,"In der Ey 85, 8047 Zürich"
40,Coop Supermarkt Zürich Hofwiesenstrasse,"Hofwiesenstrasse 370, 8050 Zürich"
41,Coop Supermarkt Zürich Schwamendingen,"Saatlenstrasse 12, 8051 Zürich"
42,Coop Supermarkt Zürich Andreasturm,"Andreasstrasse 5, 8050 Zürich"
43,Coop Supermarkt Zürich Eleven,"Sophie-Taeuber-Strasse 4, 8050 Zürich"
44,Coop Supermarkt Zürich Precisa,"Wallisellenstrasse 333, 8050 Zürich"
45,Coop Supermarkt Zürich A-Park,"Albisriederstrasse 334, 8047 Zürich"
46,Coop Supermarkt Zürich Altstetten,"Badenerstrasse 650, 8048 Zürich"
47,Coop Supermarkt Zürich Wollishofen,"Alte Kalchbühlstrasse 15, 8038 Zürich"
48,Coop Supermarkt Zürich Westlink,"Vulkanplatz, 8048 Zürich"
49,Coop Supermarkt Zürich ETH Hönggerberg,"Wolfgang-Pauli-Strasse 14, 8049 Zürich"
50,Coop Supermarkt Zürich Hönggermarkt,"Regensdorferstrasse 9, 8049 Zürich"
51,Coop Supermarkt Zürich Lindenplatz,"Lindenplatz 6, 8048 Zürich"
52,Coop Supermarkt Zürich Witikonerstrasse,"Witikonerstrasse 409, 8053 Zürich"
53,Coop Supermarkt Zürich Hirzenbachstrasse,"Hirzenbachstrasse 40, 8051 Zürich"
54,Coop Supermarkt Zürich Vulkanstrasse,"Vulkanstrasse 108/110, 8048 Zürich"
55,Coop Supermarkt Zollikon,"Alte Landstrasse 101, 8702 Zollikon"
56,Coop Supermarkt Zollikerberg Neumünster,"Forchstrasse 134, 8125 Zollikerberg"
57,Coop Supermarkt Zürich Schwellistrasse,"Schwellistrasse 69, 8052 Zürich"
58,Coop Supermarkt Zürich Wehntalerstrasse,"Wehntalerstrasse 549, 8046 Zürich"
59,Coop Supermarkt Opfikon Lindbergh-Allee,"Boulevard Lilienthal 20, 8152 Glattpark Opfikon"
60,Coop Supermarkt Zürich Suteracher,"Am Suteracher 14, 8048 Zürich"
