,name,address,post_codes,lat,long
0,Coop,"Bahnhofbrücke 1, 8001 Zürich",8001,47.3764584,8.5423575
1,Coop,"Halle Löwenstrasse, 8021 Zürich",8021,47.3750503,8.5363933
2,Coop,"Europaallee 5, 8001 Zürich",8001,47.3780286,8.534917499999999
3,Coop,"Bahnhofstrasse 57, 8001 Zürich",8001,47.3728798,8.5380649
4,Coop,"Zollstrasse 42, 8005 Zürich",8005,47.3805215,8.5348598
5,Coop,"Universitätstrasse 73, 8006 Zürich",8006,47.38252190000001,8.5478132
6,Coop,"Bärengasse 16, 8001 Zürich",8001,47.3700716,8.5371123
7,Coop,"Universitätstrasse 101, 8006 Zürich",8006,47.3839665,8.5480536
8,Coop,"Badenerstrasse 15, 8004 Zürich",8004,47.3733855,8.530586099999999
9,Coop,"Bleicherweg 19, 8002 Zürich",8002,47.3677755,8.535716299999999
10,Coop,"Theaterstrasse 18, 8024 Zürich",8024,47.3672717,8.5461092
11,Coop,"Hohlstrasse 35, 8004 Zürich",8004,47.3771023,8.5265009
12,Coop,"Stadelhoferstrasse 10, 8001 Zürich",8001,47.366789,8.5480012
13,Coop,"Zürichbergstrasse 75, 8044 Zürich",8044,47.3763974,8.559651299999999
14,Coop,"Röntgenstrasse 48, 8005 Zürich",8005,47.3847527,8.527192099999999
15,Coop,"Tessinerplatz 10, 8002 Zürich",8002,47.364369,8.530935399999999
16,Coop,"Seefeldstrasse 35, 8008 Zürich",8008,47.363175,8.549919
17,Coop,"Forchstrasse 4, 8008 Zürich",8008,47.3644433,8.554834399999999
18,Coop,"Klosbachstrasse 104, 8032 Zürich",8032,47.3678338,8.5608684
19,Coop,"Badenerstrasse 244, 8004 Zürich",8004,47.3759271,8.517500799999999
20,Coop,"Uetlibergstrasse 20, 8045 Zürich",8045,47.3647466,8.5208808
21,Coop,"Birmensdorferstrasse 200, 8003 Zürich",8003,47.3707958,8.5160521
22,Coop,"Scheffelstrasse 12, 8037 Zürich",8037,47.3938049,8.5295752
23,Coop,"Milchbuckstrasse 1-5, 8057 Zürich",8057,47.3954544,8.540429699999999
24,Coop,"Röschibachstrasse 22, 8037 Zürich",8037,47.393019,8.5249104
