,street_number,post_municipality,telephone,type_store,Angebot,Montag,Dienstag,Mittwoch,Donnerstag,Freitag,Samstag,Sonntag,gmaps_link
0, Wengistrasse 7,8004 Zürich,058 999 06 27,Denner Express,"Humidor, Bargeldbezug mit Post- / M-Card",08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,Closed,"https://maps.google.com/maps?saddr&daddr=Wengistrasse%207,%208004,Z%C3%BCrich,%20Switzerland"
1, Molkenstrasse 8,8004 Zürich,058 999 14 13,Denner Express,"Humidor, Bargeldbezug mit Post- / M-Card",07:00 - 20:00,07:00 - 20:00,07:00 - 20:00,07:00 - 20:00,07:00 - 20:00,07:00 - 20:00,Closed,"https://maps.google.com/maps?saddr&daddr=Molkenstrasse%208,%208004,Z%C3%BCrich,%20Switzerland"
2, Werdstrasse 36,8004 Zürich,058 999 03 02,Denner Filiale,"Humidor, Bargeldbezug mit Post- / M-Card",08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,Closed,"https://maps.google.com/maps?saddr&daddr=Werdstrasse%2036,%208004,Z%C3%BCrich,%20Switzerland"
3, Sihlhallenstrasse 5-7,8004 Zürich,058 999 04 19,Denner Express,"Humidor, Bargeldbezug mit Post- / M-Card, Post Servicepoint",08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,Closed,"https://maps.google.com/maps?saddr&daddr=Sihlhallenstrasse%205-7,%208004,Z%C3%BCrich,%20Switzerland"
4, Badenerstrasse 296,8004 Zürich,058 999 14 75,Denner Filiale,"Humidor, Bargeldbezug mit Post- / M-Card",07:00 - 20:00,07:00 - 20:00,07:00 - 20:00,07:00 - 20:00,07:00 - 20:00,07:00 - 20:00,Closed,"https://maps.google.com/maps?saddr&daddr=Badenerstrasse%20296,%208004,Z%C3%BCrich,%20Switzerland"
5, Fierzgasse 18,8005 Zürich,058 999 05 14,Denner Filiale,"Humidor, Bargeldbezug mit Post- / M-Card",08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,Closed,"https://maps.google.com/maps?saddr&daddr=Fierzgasse%2018,%208005,Z%C3%BCrich,%20Switzerland"
6, Birmensdorferstrasse 320,8055 Zürich,058 999 04 88,Denner Filiale,"Humidor, Bargeldbezug mit Post- / M-Card",08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,Closed,"https://maps.google.com/maps?saddr&daddr=Birmensdorferstrasse%20320,%208055,Z%C3%BCrich,%20Switzerland"
7, Limmatstrasse 152,8005 Zürich,058 999 14 23,Denner Filiale,"Humidor, Bargeldbezug mit Post- / M-Card",07:30 - 20:00,07:30 - 20:00,07:30 - 20:00,07:30 - 20:00,07:30 - 20:00,07:30 - 20:00,Closed,"https://maps.google.com/maps?saddr&daddr=Limmatstrasse%20152,%208005,Z%C3%BCrich,%20Switzerland"
8, Uetlibergstrasse 102,8045 Zürich,058 999 04 58,Denner Express,"Humidor, Bargeldbezug mit Post- / M-Card",07:00 - 20:00,07:00 - 20:00,07:00 - 20:00,07:00 - 20:00,07:00 - 20:00,08:00 - 18:00,Closed,"https://maps.google.com/maps?saddr&daddr=Uetlibergstrasse%20102,%208045,Z%C3%BCrich,%20Switzerland"
9, Limmatstrasse 275,8005 Zürich,058 999 14 76,Denner Filiale,"Humidor, Bargeldbezug mit Post- / M-Card",07:30 - 20:00,07:30 - 20:00,07:30 - 20:00,07:30 - 20:00,07:30 - 20:00,08:00 - 20:00,Closed,"https://maps.google.com/maps?saddr&daddr=Limmatstrasse%20275,%208005,Z%C3%BCrich,%20Switzerland"
10, Birmensdorferstrasse 406,8055 Zürich,058 999 05 75,Denner Filiale,"Humidor, Bargeldbezug mit Post- / M-Card",08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,Closed,"https://maps.google.com/maps?saddr&daddr=Birmensdorferstrasse%20406,%208055,Z%C3%BCrich,%20Switzerland"
11, Giesshübelstrasse 65,8045 Zürich,058 999 05 06,Denner Filiale,"Humidor, Bargeldbezug mit Post- / M-Card",08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,Closed,"https://maps.google.com/maps?saddr&daddr=Giessh%C3%BCbelstrasse%2065,%208045,Z%C3%BCrich,%20Switzerland"
12, Schaffhauserstrasse 11,8006 Zürich,058 999 14 01,Denner Express,"Humidor, Bargeldbezug mit Post- / M-Card",08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,Closed,"https://maps.google.com/maps?saddr&daddr=Schaffhauserstrasse%2011,%208006,Z%C3%BCrich,%20Switzerland"
13, Letzigraben 120,8047 Zürich,058 999 14 07,Denner Filiale,"Humidor, Bargeldbezug mit Post- / M-Card",07:30 - 20:00,07:30 - 20:00,07:30 - 20:00,07:30 - 20:00,07:30 - 20:00,07:30 - 20:00,Closed,"https://maps.google.com/maps?saddr&daddr=Letzigraben%20120,%208047,Z%C3%BCrich,%20Switzerland"
14, Landenbergstrasse 22,8037 Zürich,058 999 65 08,Denner Express,Bargeldbezug mit Post- / M-Card,07:00 - 20:00,07:00 - 20:00,07:00 - 20:00,07:00 - 20:00,07:00 - 20:00,08:00 - 19:00,Closed,"https://maps.google.com/maps?saddr&daddr=Landenbergstrasse%2022,%208037,Z%C3%BCrich,%20Switzerland"
15, Baslerstrasse 50,8048 Zürich,058 999 03 00,Denner Filiale,"Humidor, Bargeldbezug mit Post- / M-Card, Post Servicepoint",09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,Closed,"https://maps.google.com/maps?saddr&daddr=Baslerstrasse%2050,%208048,Z%C3%BCrich,%20Switzerland"
16, Winterthurerstrasse 83,8006 Zürich,058 999 13 56,Denner Express,"Humidor, Bargeldbezug mit Post- / M-Card, Post Servicepoint",08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,Closed,"https://maps.google.com/maps?saddr&daddr=Winterthurerstrasse%2083,%208006,Z%C3%BCrich,%20Switzerland"
