,QuarLang,AlterV10Sort,SexLang,Ziv2Lang,AnzBestWir
0,Affoltern,1,Male,Single,1549
1,Affoltern,1,Female,Single,1470
2,Affoltern,2,Male,Single,1378
3,Affoltern,2,Female,Single,1238
4,Affoltern,2,Female,Married,2
5,Affoltern,3,Male,Divorced,2
6,Affoltern,3,Male,In registered partnership,5
7,Affoltern,3,Male,Single,2435
8,Affoltern,3,Male,Married,168
9,Affoltern,3,Female,Divorced,24
10,Affoltern,3,Female,Single,1895
11,Affoltern,3,Female,Unknown,2
12,Affoltern,3,Female,Married,290
13,Affoltern,4,Male,Dissolved partnership,2
14,Affoltern,4,Male,Divorced,59
15,Affoltern,4,Male,In registered partnership,8
16,Affoltern,4,Male,Single,1163
17,Affoltern,4,Male,Married,983
18,Affoltern,4,Male,Widowed,2
19,Affoltern,4,Female,Divorced,131
20,Affoltern,4,Female,In registered partnership,2
21,Affoltern,4,Female,Single,863
22,Affoltern,4,Female,Married,1185
23,Affoltern,4,Female,Widowed,9
24,Affoltern,5,Male,Dissolved partnership,6
25,Affoltern,5,Male,Divorced,157
26,Affoltern,5,Male,In registered partnership,10
27,Affoltern,5,Male,Single,527
28,Affoltern,5,Male,Married,1242
29,Affoltern,5,Male,Widowed,5
30,Affoltern,5,Female,Dissolved partnership,2
31,Affoltern,5,Female,Divorced,284
32,Affoltern,5,Female,In registered partnership,4
33,Affoltern,5,Female,Single,395
34,Affoltern,5,Female,Unknown,1
35,Affoltern,5,Female,Married,1281
36,Affoltern,5,Female,Widowed,13
37,Affoltern,6,Male,Dissolved partnership,6
38,Affoltern,6,Male,Divorced,226
39,Affoltern,6,Male,In registered partnership,10
40,Affoltern,6,Male,Single,317
41,Affoltern,6,Male,Unknown,2
42,Affoltern,6,Male,Married,1028
43,Affoltern,6,Male,Widowed,17
44,Affoltern,6,Female,Divorced,349
45,Affoltern,6,Female,In registered partnership,3
46,Affoltern,6,Female,Single,239
47,Affoltern,6,Female,Married,828
48,Affoltern,6,Female,Widowed,64
49,Affoltern,7,Male,Divorced,173
50,Affoltern,7,Male,In registered partnership,3
51,Affoltern,7,Male,Single,161
52,Affoltern,7,Male,Married,660
53,Affoltern,7,Male,Widowed,26
54,Affoltern,7,Female,Divorced,330
55,Affoltern,7,Female,Single,154
56,Affoltern,7,Female,Married,625
57,Affoltern,7,Female,Widowed,118
58,Affoltern,8,Male,Dissolved partnership,2
59,Affoltern,8,Male,Divorced,114
60,Affoltern,8,Male,In registered partnership,1
61,Affoltern,8,Male,Single,70
62,Affoltern,8,Male,Married,466
63,Affoltern,8,Male,Widowed,57
64,Affoltern,8,Female,Dissolved partnership,1
65,Affoltern,8,Female,Divorced,227
66,Affoltern,8,Female,Single,103
67,Affoltern,8,Female,Married,380
68,Affoltern,8,Female,Widowed,196
69,Affoltern,9,Male,Divorced,44
70,Affoltern,9,Male,Single,26
71,Affoltern,9,Male,Married,256
